Table 4
NICMOS Cepheids

Field	alpha (J2000)	delta (J2000)	Id	P (days)	V - I (mag)	F160W (mag)	sigma (mag)	Offset (pix)	Bias (mag)	Phase (mag)	[O/H]	Flag^a	Src*	
N4536-B	188.57747	2.193860	9491	19.79	1.10	24.20	0.24	0.52	0.06	0.06	8.69		psl	
N4536-B	188.57760	2.192130	9935	42.81	1.05	23.59	0.19	0.35	0.04	-0.09	8.68		psl	
N4536-B	188.57383	2.194050	12075	49.70	1.17	23.26	0.22	0.48	0.15	0.02	8.64		psl	
N4536-C	188.58908	2.221220	3633	23.37	0.82	23.91	0.20	0.57	0.06	0.14	8.75		psl	
N4536-G	188.57352	2.219870	6827	24.54	0.74	23.86	0.31	0.70	0.28	0.19	8.71		psl	
N4536-G	188.57237	2.216330	5630	55.24	1.03	22.55	0.19	0.10	0.05	-0.09	8.72		psl	
N4536-R	188.58741	2.202540	3571	20.98	0.78	24.02	0.39	0.95	0.29	0.07	8.89		psl	
N4536-R	188.58842	2.204110	2692	31.59	1.09	23.71	0.20	0.57	0.20	-0.04	8.90		psl	
N4536-R	188.59047	2.200050	6914	34.63	1.22	22.72	0.22	0.37	0.13	-0.03	8.92	rej	psl	
N4536-R	188.59103	2.202740	4786	37.45	0.93	23.67	0.22	0.46	0.13	-0.03	8.93		psl	
N4536-B	188.57908	2.191510	9023	19.90	0.51	24.40	0.30	0.72	0.22	0.04	8.69		lm	
N4536-C	188.58946	2.220100	3607	80.17	0.69	22.79	0.25	0.34	0.03	0.01	8.76		lm	
N4536-G	188.57149	2.218370	6582	38.84	1.43	23.57	0.20	0.24	0.05	0.00	8.70		lm	
N4536-R	188.58811	2.199800	6233	25.30	0.64	23.31	0.23	0.65	0.25	0.09	8.89		lm	
N4536-B	188.57932	2.199800	13	18.54	0.72	24.56	0.38	0.60	0.16	0.00	8.71		ps	
N4536-R	188.58854	2.192987	5	30.25	1.14	23.64	0.22	0.52	0.15	0.00	8.89		ps	
N4639-B	190.72103	13.24735	11893	26.59	1.09	25.83	0.47	1.15	0.29	0.06	8.98	rej	psl	
N4639-B	190.72412	13.24921	8651	27.54	0.91	24.58	0.54	0.74	0.44	0.08	9.05		psl	
N4639-B	190.71891	13.25026	16601	42.20	1.18	23.54	0.56	0.54	0.18	0.01	9.09		psl	
N4639-B	190.72047	13.24661	12394	54.82	1.06	24.10	0.47	2.69	0.53	0.05	8.95		psl	
N4639-B-L	190.72412	13.24921	8651	27.54	0.91	24.68	0.47	0.36	0.59	0.11	9.05		psl	
N4639-B-L	190.71891	13.25026	16601	42.20	1.18	23.84	0.34	0.41	0.29	-0.02	9.09		psl	
N4639-B-L	190.72047	13.24661	12394	54.82	1.06	23.80	0.33	8.76	0.06	-0.03	8.95		psl	
N4639-C	190.70392	13.26827	40321	37.27	1.24	23.89	0.25	0.20	0.11	0.02	8.83		psl	
N4639-C	190.70509	13.26793	39829	39.41	0.91	23.79	0.22	0.24	0.07	-0.07	8.86		psl	
N4639-C	190.70451	13.26849	40158	52.16	1.09	24.26	0.27	0.32	0.16	-0.09	8.84		psl	
N4639-C	190.70539	13.26932	61786	56.31	1.18	24.04	0.24	0.87	0.11	0.13	8.84		psl	
N4639-G	190.71845	13.27400	30160	51.11	1.11	24.21	0.19	0.16	0.04	-0.00	8.69		psl	
N4639-R	190.73302	13.25647	4481	34.24	0.97	24.08	0.19	0.08	0.16	0.00	8.88		psl	
N4639-B	190.72165	13.25058	12430	39.53	0.93	25.23	0.67	2.33	0.70	0.01	9.11	rej	lm	
N4639-B	190.72020	13.24847	13602	47.27	1.44	23.92	0.31	0.56	0.16	0.04	9.02		lm	
N4639-B-L	190.72020	13.24847	13602	47.27	1.44	24.06	0.30	0.50	0.03	-0.02	9.02		lm	
N4639-R	190.73314	13.25609	4383	42.43	1.09	23.98	0.22	0.38	0.09	-0.03	8.88		lm	
