M101 6 3 1 -2 0.09 0.09 0.03 0.16
N1015 41 40 1 27 0.13 0.13 0.06 0.31
N1309 105 63 12 -1 0.35 0.26 0.10 0.48
N1365 15 19 0 7 0.13 0.13 0.06 0.29
N1448 31 24 1 6 0.14 0.13 0.06 0.29
N2442 141 109 8 23 0.24 0.21 0.10 0.48
N3021 106 134 0 75 0.23 0.22 0.09 0.46
N3370 69 55 5 26 0.23 0.19 0.07 0.37
N3447 34 23 4 -1 0.14 0.12 0.06 0.29
N3972 79 68 7 25 0.18 0.17 0.07 0.38
N3982 82 69 0 22 0.22 0.19 0.09 0.44
N4038 38 28 2 12 0.19 0.15 0.07 0.34
N4258I 5 7 -1 10 0.20 0.23 0.05 0.36
N4258O -2 1 0 0 0.08 0.07 0.02 0.10
N4424 318 262 -2 111 0.31 0.28 0.11 0.58
N4536 12 16 -1 10 0.11 0.10 0.05 0.24
N4639 56 85 -5 89 0.21 0.22 0.09 0.51
N5584 26 23 2 7 0.15 0.13 0.05 0.26
N5917 54 51 -2 32 0.20 0.19 0.08 0.42
N7250 152 91 13 -1 0.24 0.20 0.08 0.42
U9391 36 42 -3 38 0.15 0.15 0.06 0.34
